Date,Price,Open,High,Low,Vol.,Change %
13/03/2017,25136.63,25238.01,25238.85,25062.25,135.40M,-0.004
10/03/2017,25238.01,25170.36,25543.4,25167.17,245.39M,0.0027
09/03/2017,25170.36,24986.02,25292.47,24877.2,215.91M,0.0074
08/03/2017,24986.02,25129.27,25169.1,24932.24,218.72M,-0.0057
07/03/2017,25129.27,24581.99,25129.27,24547.37,215.36M,0.0223
06/03/2017,24581.99,25012.08,25136.1,24568.07,128.16M,-0.0172
03/03/2017,25012.08,24829.59,25037.4,24829.59,274.17M,0.0073
02/03/2017,24829.59,25183.1,25204.97,24762.07,186.00M,-0.014
01/03/2017,25183.1,25329.08,25351.8,25183.1,228.02M,-0.0058
28/02/2017,25329.08,25373.42,25402.89,25286.61,444.50M,-0.0017
27/02/2017,25373.42,25250.37,25382.73,25218.23,254.75M,0.0049
24/02/2017,25250.37,25409.06,25417.1,25223.02,259.31M,-0.0062
23/02/2017,25409.06,25249.74,25409.06,25204.33,146.71M,0.0063
22/02/2017,25249.74,25251.63,25263.49,25181.34,118.46M,-0.0001
21/02/2017,25251.63,25249.49,25323.81,25181.86,125.15M,0.0001
20/02/2017,25249.49,25164.91,25273.94,25128.57,103.36M,0.0034
17/02/2017,25164.91,25055.29,25188.29,25025.87,480.00M,0.0044
16/02/2017,25055.29,25130.26,25171.26,25041.74,144.39M,-0.003
15/02/2017,25130.26,25032.17,25130.26,24962.19,161.84M,0.0039
14/02/2017,25032.17,25244.29,25246.17,25000.95,144.89M,-0.0084
13/02/2017,25244.65,25340.02,25475.13,25232.94,141.91M,-0.0038
10/02/2017,25340.02,25322.3,25350.03,25204.41,201.73M,0.0007
09/02/2017,25322.3,25460.45,25472.15,25257.02,142.83M,-0.0054
08/02/2017,25460.45,25446.66,25511.1,25424.96,347.82M,0.0005
07/02/2017,25446.66,25587.09,25595.97,25380.4,207.18M,-0.0055
06/02/2017,25587.09,25802.54,25812.09,25575.2,152.36M,-0.0083
03/02/2017,25802.54,25936.24,26084.39,25790.59,144.47M,-0.0052
02/02/2017,25936.24,25903.55,25936.24,25750.45,151.50M,0.0013
01/02/2017,25903.55,26036.24,26084.25,25800.68,246.36M,-0.0051
31/01/2017,26036.24,26217.18,26244.8,25912.22,205.75M,-0.0069
30/01/2017,26217.18,26328.22,26339.35,26191.13,143.52M,-0.0042
27/01/2017,26328.22,26289.95,26361.45,26277.08,237.79M,0.0015
26/01/2017,26289.95,26240.45,26295.29,26211.25,146.49M,0.0019
25/01/2017,26240.45,26217.54,26248.36,26214.85,189.99M,0.0009
24/01/2017,26217.54,26231.37,26296.54,26122.99,187.70M,-0.0005
23/01/2017,26231.37,26223.54,26231.37,26107.29,228.59M,0.0003
20/01/2017,26223.54,26201.6,26228.41,26160.76,203.19M,0.0008
19/01/2017,26201.6,26245.34,26246.42,26168.49,196.46M,-0.0017
18/01/2017,26245.34,26278.2,26308.87,26236,394.82M,-0.0013
17/01/2017,26278.2,26373.83,26375.68,26271.52,371.87M,-0.0036
16/01/2017,26373.83,26325.93,26378.56,26325.93,174.00M,0.0018
13/01/2017,26325.93,26330.15,26350.33,26278.04,148.57M,-0.0002
12/01/2017,26330.39,26385.8,26414.92,26305.65,179.33M,-0.0021
11/01/2017,26385.8,26346.24,26411.21,26325.21,197.45M,0.0015
10/01/2017,26346.24,26580.22,26628.85,26338.81,279.34M,-0.0088
09/01/2017,26580.22,26251.39,26580.22,26244.67,209.02M,0.0125
06/01/2017,26251.39,26212.09,26285.49,26203.89,210.21M,0.0015
05/01/2017,26212.09,26495.04,26623.98,26212.09,137.69M,-0.0107
04/01/2017,26495.04,26616.89,26648.35,26492.45,62.09M,-0.0046
03/01/2017,26616.89,26874.62,26874.62,26574.27,106.43M,-0.0096
30/12/2016,26874.62,26782.93,26874.62,26704.01,106.30M,0.0034
29/12/2016,26782.93,26688.25,26790.54,26648.64,116.89M,0.0035
28/12/2016,26688.25,26488.95,26701.53,26488.95,130.64M,0.0076
23/12/2016,26486.02,26464.82,26642.26,26431.77,138.91M,0.0008
22/12/2016,26464.82,26418.11,26490.12,26415.92,188.68M,0.0018
21/12/2016,26418.11,26529.94,26529.94,26395.79,421.18M,-0.0046
20/12/2016,26540.87,26586.56,26602.42,26509.7,248.71M,-0.0017
19/12/2016,26586.56,26707.1,26707.1,26543.01,262.90M,-0.0045
16/12/2016,26707.1,26559.01,26722.77,26413.42,874.34M,0.0056
15/12/2016,26559.01,26407.64,26578.78,26363.99,199.98M,0.0057
14/12/2016,26407.64,26071.16,26407.64,26068.56,205.33M,0.0129
13/12/2016,26071.16,25817.69,26071.21,25817.69,376.70M,0.0098
09/12/2016,25817.69,25739.18,25817.69,25684.15,108.52M,0.0031
08/12/2016,25739.18,25673.8,25809.18,25638.37,166.00M,0.0025
07/12/2016,25673.8,25671.23,25746.46,25669.87,255.73M,0.0001
06/12/2016,25671.23,25743.03,25807.65,25664.94,189.40M,-0.0028
05/12/2016,25743.03,25740.83,25845.35,25706.17,175.05M,0.0001
02/12/2016,25740.83,25265.08,25926.12,25154.17,576.38M,0.0188
01/12/2016,25265.08,25241.63,25267.75,25212.02,773.87M,0.0009
30/11/2016,25241.63,25233.42,25362.12,25198.36,414.13M,0.0003
29/11/2016,25233.42,25318.41,25318.41,25188.2,511.58M,-0.0034
28/11/2016,25318.41,25330.87,25358.67,25273.71,202.43M,-0.0006
25/11/2016,25333.39,25490.7,25501.92,25312.28,144.16M,-0.0062
24/11/2016,25490.7,25517,25523.13,25465.67,97.14M,-0.001
23/11/2016,25517,25461.34,25541.06,25427.04,165.72M,0.0021
22/11/2016,25462.28,25499,25499,25426.12,120.93M,-0.0017
21/11/2016,25505.91,25537.54,25537.77,25486.53,112.44M,-0.0012
18/11/2016,25537.54,25599.79,25609.33,25527.83,165.58M,-0.0024
17/11/2016,25599.79,25653.14,25661.4,25595.39,161.59M,-0.0021
16/11/2016,25653.14,25857.06,25857.86,25632.09,145.74M,-0.0079
15/11/2016,25857.06,25986.81,26027.55,25795.52,189.73M,-0.005
14/11/2016,25986.81,26170.88,26239.39,25973.27,160.91M,-0.007
11/11/2016,26170.88,26221.75,26278.62,26137.33,199.92M,-0.0019
10/11/2016,26221.75,26173.69,26327.35,26142.94,137.64M,0.0018
09/11/2016,26173.69,26364.27,26371.37,26083.76,146.11M,-0.0072
08/11/2016,26364.27,26884.58,26887.88,26331.97,189.01M,-0.0195
07/11/2016,26887.54,26981.6,26982.08,26872.46,115.04M,-0.0035
04/11/2016,26981.6,27044.36,27044.36,26896.11,151.85M,-0.0023
03/11/2016,27044.36,27223.08,27592.42,27031.6,112.52M,-0.0066
02/11/2016,27223.08,27252.48,27309,27211.28,202.70M,-0.0011
01/11/2016,27252.48,27219.69,27277.25,27196.56,186.86M,0.0012
31/10/2016,27220.09,27294.21,27317.1,27215.56,219.90M,-0.0027
28/10/2016,27294.21,27236.78,27296.32,27192.46,148.45M,0.0021
27/10/2016,27236.78,27120.39,27242.02,27080.2,155.59M,0.0043
26/10/2016,27120.39,27098.52,27121.77,27007.21,159.99M,0.0008
25/10/2016,27098.52,27575.07,27588.24,27093.23,112.43M,-0.0173
24/10/2016,27575.03,27596.82,27630.83,27567.48,101.18M,-0.0008
21/10/2016,27596.82,27598.34,27627.63,27573.06,70.94M,-0.0001
20/10/2016,27598.34,27478.04,27720.3,27478.04,111.90M,0.0044
19/10/2016,27478.04,27555.31,27557.14,27460.67,75.01M,-0.0028
18/10/2016,27555.31,27634.99,27678.2,27555.31,154.11M,-0.0029
17/10/2016,27634.99,27861.03,27867.5,27631.05,255.81M,-0.0081
14/10/2016,27861.03,27854.78,28264.33,27821.27,220.85M,0.0002
13/10/2016,27854.78,28027.23,28030.72,27803.76,380.75M,-0.0062
12/10/2016,28027.23,28034.32,28058.03,27921.68,155.58M,-0.0003
11/10/2016,28034.32,27925,28060.76,27901.45,234.19M,0.0039
